,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Peak memory consumption (bytes),Overall iterations,Overall time,Minimization time,Initial property automaton Locations,Initial property automaton Edges,Initial RCFG Locations,Initial RCFG Edges,Initial product Locations,Initial product Edges,Optimized Product Locations,Optimized Product Edges,Trivial modules,Deterministic modules,Nondeterministic modules,Remainer module,Avg Locs trivial modules,Avg Locs deterministic modules,Avg Locs nondeterministic modules
,P14,Problem14_prop_000.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],45767220332,3184001024,2787044144,21,33479588781,1303976720,2,3,670,853,1331,2522,606,1545,20,0,0,-,5.55,0.0,0.0
,P14,Problem14_prop_000.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],411222608779.0,6159859712,1113156256,30,409087165133,49486103223,2,3,670,2092,1331,6239,823,5302,29,0,0,-,3.9655172413793105,0.0,0.0
,P14,Problem14_prop_000.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],394531866246.0,7786201088,2120998848,30,393001233331,51718827385,2,3,670,2092,1331,6239,823,5302,29,0,0,-,3.9655172413793105,0.0,0.0
,P14,Problem14_prop_000.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],37043002048.0,8294760448,1913043496,21,29342207746,756805803,2,3,670,853,1331,2522,606,1545,20,0,0,-,5.55,0.0,0.0
,P14,Problem14_prop_001.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],14834099738.0,8336703488,2205878992,25,13224893838,873869374,1,1,670,853,671,849,9,124,23,0,1,-,7.695652173913044,0.0,7.0
,P14,Problem14_prop_001.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: java.util.HashMap.newKeyIterator(HashMap.java:968)],752767245239.0,8377073664,6.11394604E+9,0,4886773,0,1,1,670,2092,671,2088,183,1423,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: Java heap space: java.util.HashMap.inflateTable(HashMap.java:316)],723166956704.0,6.88914432E+9,6165560784,0,4247507,0,1,1,670,2092,671,2088,183,1423,-,-,-,-,-,-,-
,P14,Problem14_prop_001.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],12454710891.0,6.88914432E+9,843381808,24,10963713619,654879845,1,1,670,853,671,849,9,124,22,1,0,-,8.045454545454545,18.0,0.0
,P14,Problem14_prop_002.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],547765064181.0,6371147776,1012621928,148,540531795642,17863123663,2,3,670,853,1331,2522,606,1551,147,0,0,-,11.653061224489797,0.0,0.0
,P14,Problem14_prop_002.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: java.util.HashSet.<init>(HashSet.java:103)],1112313537251.0,6.98351616E+9,6229283784,0,4204549,0,2,3,670,2092,1331,6239,823,5308,-,-,-,-,-,-,-
,P14,Problem14_prop_002.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded: java.util.HashMap.keySet(HashMap.java:997)],1112434799457.0,6.98351616E+9,7123754632,0,4244654,0,2,3,670,2092,1331,6239,823,5308,-,-,-,-,-,-,-
,P14,Problem14_prop_002.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],549015971600.0,6981419008,9.2672144E+8,148,542009397126,17607089930,2,3,670,853,1331,2522,606,1551,147,0,0,-,11.653061224489797,0.0,0.0
,P14,Problem14_prop_003.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],10605200082.0,6524239872,1.2907324E+9,21,8975388803,1146247844,1,1,670,853,671,849,9,124,19,0,1,-,6.315789473684211,0.0,7.0
,P14,Problem14_prop_003.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],758960894183.0,6854541312,6097381248,0,4386333,0,1,1,670,2092,671,2088,183,1423,-,-,-,-,-,-,-
,P14,Problem14_prop_003.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],755810284044.0,6985089024,6070663192,0,4195751,0,1,1,670,2092,671,2088,183,1423,-,-,-,-,-,-,-
,P14,Problem14_prop_003.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],6186247452.0,6985089024,8.3718432E+8,13,4585002432,178775020,1,1,670,853,671,849,9,124,11,1,0,-,6.090909090909091,19.0,0.0
,P14,Problem14_prop_004.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || G(B))) ,201766267884.0,6442975232,1.33768316E+9,42,193830988336,4924039702,3,6,670,853,1991,5030,943,2709,41,0,0,Nonterminating,9.487804878048781,0.0,0.0
,P14,Problem14_prop_004.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timeout while trying to prove G((A || G(B)))],1403007033945.0,7412908032,3996924576,44,1401338022523,101620346209,3,6,670,2092,1991,12464,1263,8654,44,0,0,Decomposition not yet finished,4.931818181818182,0.0,0.0
,P14,Problem14_prop_004.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timeout while trying to prove G((A || G(B)))],1395622926640.0,7.47372544E+9,4930032184,44,1393582631746,98548904203,3,6,670,2092,1991,12464,1263,8654,44,0,0,Decomposition not yet finished,4.931818181818182,0.0,0.0
,P14,Problem14_prop_004.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || G(B))) ,197589752923.0,8502902784,1400663392,42,190241002201,4907150792,3,6,670,853,1991,5030,943,2709,41,0,0,Nonterminating,9.487804878048781,0.0,0.0
,P14,Problem14_prop_005.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || ((B U C) || G(B)))) ,199659460257.0,8537505792,2747836896,40,192150177421,10571994919,3,6,670,853,1991,5030,943,2709,39,0,0,Nonterminating,7.205128205128205,0.0,0.0
,P14,Problem14_prop_005.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,495004815442.0,8212447232,1350345504,33,493110137670,96765809446,3,6,670,2092,1991,12464,1263,8654,32,0,0,Unknown,3.90625,0.0,0.0
,P14,Problem14_prop_005.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,506654694735.0,7199522816,2496944776,33,504617393474,93862085297,3,6,670,2092,1991,12464,1263,8654,32,0,0,Unknown,3.90625,0.0,0.0
,P14,Problem14_prop_005.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((A || ((B U C) || G(B)))) ,197956325850.0,8229224448,1777101896,40,190415681251,9771214686,3,6,670,853,1991,5030,943,2709,39,0,0,Nonterminating,7.205128205128205,0.0,0.0
,P14,Problem14_prop_006.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,418120091422.0,8374976512,2391719832,58,405944686195,20017999679,3,6,670,853,1991,5030,944,3677,57,0,0,Unknown,8.0,0.0,0.0
,P14,Problem14_prop_006.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],846018541548.0,8.39385088E+9,4993840608,0,2168378,0,3,6,670,2092,1991,12464,1264,10686,-,-,-,-,-,-,-
,P14,Problem14_prop_006.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],840591032208.0,7007633408,5996100872,0,2329894,0,3,6,670,2092,1991,12464,1264,10686,-,-,-,-,-,-,-
,P14,Problem14_prop_006.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,423634748008.0,6943670272,2.23987E+9,58,411180316476,21878984406,3,6,670,853,1991,5030,944,3677,57,0,0,Unknown,8.035087719298245,0.0,0.0
,P14,Problem14_prop_007.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],62492261451.0,6.8681728E+9,1579745016,20,53031914925,3008316287,4,9,670,853,2651,7540,943,2712,19,0,0,-,4.842105263157895,0.0,0.0
,P14,Problem14_prop_007.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],407302743790.0,7.76208384E+9,2.35879204E+9,28,404600407358,62848833077,4,9,670,2092,2651,18691,1263,8657,27,0,0,-,3.962962962962963,0.0,0.0
,P14,Problem14_prop_007.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],400851690348.0,7876902912,2047024672,28,397882800205,57462140802,4,9,670,2092,2651,18691,1263,8657,27,0,0,-,3.962962962962963,0.0,0.0
,P14,Problem14_prop_007.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],61953360654.0,8425832448,1.92989976E+9,20,52854698858,3108714201,4,9,670,853,2651,7540,943,2712,19,0,0,-,4.842105263157895,0.0,0.0
,P14,Problem14_prop_008.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((!((A && F(B))) || (C U B))) ,493320125275.0,8541175808,2471255592,60,480842078539,10949035228,4,8,670,853,2651,6706,1540,5101,59,0,0,Nonterminating,11.305084745762711,0.0,0.0
,P14,Problem14_prop_008.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],968197985925.0,8.53540864E+9,4503283352,0,2320484,0,4,8,670,2092,2651,16618,1860,14360,-,-,-,-,-,-,-
,P14,Problem14_prop_008.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],940288380981.0,7635730432,5444247744,0,2165979,0,4,8,670,2092,2651,16618,1860,14360,-,-,-,-,-,-,-
,P14,Problem14_prop_008.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   Violation of LTL property G((!((A && F(B))) || (C U B))) ,505403822896.0,7255097344,2117512128,61,492187459268,11716406862,4,8,670,853,2651,6706,1540,5101,60,0,0,Nonterminating,11.3,0.0,0.0
,P14,Problem14_prop_009.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,521509348666.0,7627866112,2109931976,85,513428926619,23284291786,4,8,670,853,2651,6706,1279,3874,84,0,0,Unknown,9.369047619047619,0.0,0.0
,P14,Problem14_prop_009.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],656876847291.0,7635730432,5346071616,0,2453101,0,4,8,670,2092,2651,16618,1660,12130,-,-,-,-,-,-,-
,P14,Problem14_prop_009.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],671655007472.0,7635730432,6504489872,0,2341111,0,4,8,670,2092,2651,16618,1660,12130,-,-,-,-,-,-,-
,P14,Problem14_prop_009.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,532696620453.0,6885998592,1696297264,85,524727976183,23541286241,4,8,670,853,2651,6706,1279,3874,84,0,0,Unknown,9.369047619047619,0.0,0.0
,P14,Problem14_prop_010.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],127608071890.0,7097810944,1732746384,33,114367794241,6243683063,4,9,670,853,2651,7540,944,2723,32,0,0,-,7.0625,0.0,0.0
,P14,Problem14_prop_010.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],457632616312.0,7137656832,7163812208,0,2262289,0,4,9,670,2092,2651,18691,1264,10277,-,-,-,-,-,-,-
,P14,Problem14_prop_010.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],460219958561.0,7137656832,6159675168,0,2550782,0,4,9,670,2092,2651,18691,1264,10277,-,-,-,-,-,-,-
,P14,Problem14_prop_010.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],127891188375.0,7097810944,1.12038244E+9,33,114947403881,6065007000,4,9,670,853,2651,7540,944,2723,32,0,0,-,7.0625,0.0,0.0
,P14,Problem14_prop_011.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],47127900762.0,6849298432,1.35788452E+9,19,39295561339,1212043778,3,6,670,853,1991,5030,943,2709,18,0,0,-,4.888888888888889,0.0,0.0
,P14,Problem14_prop_011.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],251160006557.0,7635730432,4110295912,26,248033874607,41354896665,3,6,670,2092,1991,12464,1264,11457,25,0,0,-,3.68,0.0,0.0
,P14,Problem14_prop_011.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],242837399862.0,7635730432,4808246056,26,239719071147,43939403534,3,6,670,2092,1991,12464,1264,11457,25,0,0,-,3.68,0.0,0.0
,P14,Problem14_prop_011.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],45970444978.0,8182562816,1551702992,19,38396750517,1165969138,3,6,670,853,1991,5030,943,2709,18,0,0,-,4.888888888888889,0.0,0.0
,P14,Problem14_prop_012.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],30332625081.0,8449949696,2425493464,16,22616494193,520019154,2,3,670,853,1331,2522,606,1545,15,0,0,-,5.0,0.0,0.0
,P14,Problem14_prop_012.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],176683642127.0,8443133952,2177651568,21,175360314664,28699064880,2,3,670,2092,1331,6239,823,5302,20,0,0,-,3.9,0.0,0.0
,P14,Problem14_prop_012.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],175673677692.0,7.81451264E+9,1731923608,21,174332557792,22591745042,2,3,670,2092,1331,6239,823,5302,20,0,0,-,3.9,0.0,0.0
,P14,Problem14_prop_012.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],30172807370.0,8280604672,1712900672,16,22510900681,512358806,2,3,670,853,1331,2522,606,1545,15,0,0,-,5.0,0.0,0.0
,P14,Problem14_prop_013.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],31850995320.0,8423211008,2360257704,16,24894126813,706908583,2,3,670,853,1331,2522,606,1545,15,0,0,-,5.066666666666666,0.0,0.0
,P14,Problem14_prop_013.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],176636792157.0,8428453888,2347005624,29,175422944693,24307552063,2,3,670,2092,1331,6239,823,5302,28,0,0,-,3.9285714285714284,0.0,0.0
,P14,Problem14_prop_013.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],172620392165.0,7.84334848E+9,1383236744,29,171425881372,27493917753,2,3,670,2092,1331,6239,823,5302,28,0,0,-,3.9285714285714284,0.0,0.0
,P14,Problem14_prop_013.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],31144130315.0,7867465728,1.5744288E+9,16,24327404151,610897077,2,3,670,853,1331,2522,606,1545,15,0,0,-,5.066666666666666,0.0,0.0
,P14,Problem14_prop_014.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,433468485873.0,8056733696,3631295648,48,424647597276,26264615495,4,9,670,853,2651,7540,943,2712,46,0,1,Unknown,8.608695652173912,0.0,9.0
,P14,Problem14_prop_014.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],509240729533.0,7635730432,4.45978488E+9,0,2420920,0,4,9,670,2092,2651,18691,1263,8657,-,-,-,-,-,-,-
,P14,Problem14_prop_014.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],474298335346.0,7635730432,5448754992,0,2170164,0,4,9,670,2092,2651,18691,1263,8657,-,-,-,-,-,-,-
,P14,Problem14_prop_014.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,341500740575.0,7121928192,1.77317192E+9,49,332541024842,19523725105,4,9,670,853,2651,7540,943,2712,47,1,0,Unknown,9.46808510638298,19.0,0.0
,P14,Problem14_prop_015.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout (de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer) LongDescription: Timeout while trying to prove (G(A) || F((B && F(C))))],1200006803821.0,7635730432,5222651648,15,1186865145043,401800315905,4,9,670,853,2651,7540,944,2721,12,0,3,Decomposition not yet finished,6.0,0.0,13.0
,P14,Problem14_prop_015.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],680512958775.0,7635730432,5881941952,0,2181394,0,4,9,670,2092,2651,18691,1264,10275,-,-,-,-,-,-,-
,P14,Problem14_prop_015.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: GC overhead limit exceeded],684721345774.0,7.57334016E+9,5.85540152E+9,0,2530170,0,4,9,670,2092,2651,18691,1264,10275,-,-,-,-,-,-,-
,P14,Problem14_prop_015.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: SMTLIBException: generated interpolants did not pass sanity check: de.uni_freiburg.informatik.ultimate.smtinterpol.smtlib2.SMTInterpol.getInterpolants(SMTInterpol.java:1304)],1032558661054.0,7600078848,2091572016,0,2232340,0,4,9,670,853,2651,7540,944,2721,-,-,-,-,-,-,-
,P14,Problem14_prop_016.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],38222896682.0,8277983232,1759005464,18,29677703703,695006383,2,3,670,853,1331,2522,606,1545,17,0,0,-,5.411764705882353,0.0,0.0
,P14,Problem14_prop_016.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],225484972252.0,8133804032,2860747704,19,223071572444,42338515028,2,3,670,2092,1331,6239,823,8010,18,0,0,-,4.0,0.0,0.0
,P14,Problem14_prop_016.c,Default-LBE-Multi+SBE+SASBE.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],228853646480.0,7632584704,4091741072,19,226588750893,50857023774,2,3,670,2092,1331,6239,823,8010,18,0,0,-,4.0,0.0,0.0
,P14,Problem14_prop_016.c,Default-LBE-Multi.epf,LTLAutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: We were not able to verify any specifiation because the program does not contain any specification.],38464876608.0,7705985024,1.49183392E+9,18,29999859160,778895766,2,3,670,853,1331,2522,606,1545,17,0,0,-,5.411764705882353,0.0,0.0
,P14,Problem14_prop_017.c,Default-LBE-Multi+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: NO_RESULT   NO_RESULT,108454270147.0,8284274688,2157935856,40,100084939883,4361210860,2,3,670,853,1331,2522,606,1551,39,0,0,Unknown,7.051282051282051,0.0,0.0
,P14,Problem14_prop_017.c,Default-LBE-Multi+SBE+SASBE+NondetBuchi.epf,LTLAutomizerC.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [de.uni_freiburg.informatik.ultimate.plugins.generator.buchiautomizer: OutOfMemoryError: Java heap space],484353755992.0,8358723584,4.53212684E+9,0,2294748,0,2,3,670,2092,1331,6239,823,8016,-,-,-,-,-,-,-
